no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,lead_time,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,room_type_reserved_Room_Type 1,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online
2,0,1,3,1,0,100,0,0,0,136.0,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,1,0,0,139,0,0,0,94.5,1,1,1,0,0,0,0,0,0,0,0,1
2,0,1,2,1,0,117,0,0,0,93.6,2,1,1,0,0,0,0,0,0,0,0,1
2,0,1,4,1,0,39,0,0,0,120.6,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,3,1,0,86,0,0,0,99.3,1,1,0,0,1,0,0,0,0,0,0,1
1,0,0,3,1,0,19,0,0,0,120.12,2,1,0,0,1,0,0,0,0,0,0,1
1,0,0,2,1,0,192,0,0,0,95.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,2,1,1,0,86,0,0,0,75.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,0,3,1,0,30,0,0,0,157.5,2,1,0,0,1,0,0,0,0,0,0,1
2,0,0,2,1,0,179,0,0,0,97.7,1,1,0,0,1,0,0,0,0,0,0,1
2,0,0,2,1,0,26,0,0,0,142.0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,1,1,0,55,0,0,0,80.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,1,2,1,0,74,0,0,0,85.5,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,3,1,0,143,0,0,0,100.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,1,0,0,0,34,0,0,0,88.0,2,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,177,0,0,0,100.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,2,3,1,0,34,0,0,0,75.0,0,1,0,0,1,0,0,0,0,0,1,0
2,0,1,4,1,0,18,0,0,0,116.8,1,1,0,0,1,0,0,0,0,0,0,1
3,0,1,1,1,0,267,0,0,0,121.5,0,1,0,0,1,0,0,0,0,0,0,1
2,0,1,2,1,0,64,0,0,0,111.9,1,1,1,0,0,0,0,0,0,0,0,1
3,0,2,5,1,0,155,0,0,0,121.55,2,0,0,0,1,0,0,0,0,0,0,1
2,0,0,5,1,0,46,0,0,0,75.0,1,1,1,0,0,0,0,0,0,0,1,0
2,0,0,5,1,0,128,0,0,0,132.3,0,0,0,0,1,0,0,0,0,0,0,1
2,0,2,0,0,0,20,0,0,0,88.0,2,1,1,0,0,0,0,0,0,0,0,1
2,0,1,4,1,0,40,0,0,0,98.82,0,1,0,0,1,0,0,0,0,0,0,1
1,0,1,0,1,0,1,0,0,0,150.0,2,1,1,0,0,0,0,0,0,0,0,1
2,0,2,3,0,0,196,0,0,0,96.05,1,1,1,0,0,0,0,0,0,0,0,1
1,0,0,2,1,0,188,0,0,0,130.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,1,3,0,0,110,0,0,0,101.58,1,1,1,0,0,0,0,0,0,0,0,1
2,0,2,1,1,0,73,0,0,0,115.8,1,1,0,0,1,0,0,0,0,0,0,1
2,0,0,1,1,0,92,0,0,0,149.4,1,1,0,0,1,0,0,0,0,0,0,1
2,0,2,5,1,0,171,0,0,0,111.59,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,2,2,0,320,0,0,0,115.0,1,0,1,0,0,0,0,0,0,0,0,1
2,0,0,4,1,0,118,0,0,0,90.95,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,3,1,0,30,0,0,0,76.08,1,1,1,0,0,0,0,0,0,0,0,1
2,0,1,0,0,0,189,0,0,0,85.5,2,1,1,0,0,0,0,0,0,0,0,1
3,0,1,2,1,0,55,0,0,0,159.3,2,1,0,0,1,0,0,0,0,0,0,1
1,0,0,4,1,0,55,0,0,0,74.8,2,1,1,0,0,0,0,0,0,0,0,1
2,0,0,1,1,0,16,0,0,0,95.0,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,3,1,0,24,0,0,0,107.0,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,3,1,0,8,0,0,0,64.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,1,3,1,0,0,0,0,0,155.0,1,1,0,0,1,0,0,0,0,0,0,1
2,0,0,1,0,0,12,0,0,0,101.68,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,182,0,0,0,117.9,2,0,1,0,0,0,0,0,0,0,0,1
2,0,1,0,0,0,1,0,0,0,127.0,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,3,0,0,122,0,0,0,116.1,2,1,1,0,0,0,0,0,0,0,0,1
2,0,2,3,1,0,40,0,0,0,117.9,1,1,1,0,0,0,0,0,0,0,0,1
3,0,2,5,1,0,40,0,0,0,135.76,0,0,0,0,1,0,0,0,0,0,0,1
2,0,2,3,1,0,2,0,0,0,103.0,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,3,1,0,317,0,0,0,106.2,1,0,1,0,0,0,0,0,0,0,0,1
2,0,0,2,2,0,286,0,0,0,58.5,0,1,1,0,0,0,0,0,0,0,1,0
2,0,1,3,1,0,68,0,0,0,73.95,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,3,1,0,148,0,0,0,105.3,0,1,1,0,0,0,0,0,0,0,0,1
3,0,2,0,1,0,68,0,0,0,133.2,2,1,0,0,1,0,0,0,0,0,0,1
2,0,0,2,1,0,30,0,0,0,85.5,0,1,1,0,0,0,0,0,0,0,1,0
1,0,0,1,1,0,14,0,0,0,112.0,1,0,1,0,0,0,0,0,0,0,0,1
1,0,2,3,1,0,117,0,0,0,110.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,1,4,1,0,85,0,0,0,91.48,1,1,0,0,1,0,0,0,0,0,0,1
2,0,0,2,0,0,1,0,0,0,135.0,2,1,1,0,0,0,0,0,0,0,0,1
1,0,1,2,1,0,25,0,0,0,129.0,2,1,1,0,0,0,0,0,0,0,0,1
2,0,2,4,0,0,289,0,0,0,70.55,2,0,1,0,0,0,0,0,0,0,0,1
2,0,1,4,1,0,28,0,0,0,75.0,0,1,0,0,1,0,0,0,0,0,1,0
1,0,0,4,0,0,80,0,0,0,72.25,0,1,1,0,0,0,0,0,0,0,0,1
2,0,0,1,1,0,11,0,0,0,155.0,2,1,0,0,1,0,0,0,0,0,0,1
2,1,1,0,1,0,162,0,0,0,121.5,2,0,1,0,0,0,0,0,0,0,0,1
2,0,2,5,1,0,155,0,0,0,90.95,2,1,1,0,0,0,0,0,0,0,0,1
1,0,2,2,1,0,82,0,0,0,109.65,0,1,1,0,0,0,0,0,0,0,0,1
3,0,2,4,1,0,27,0,0,0,142.72,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,2,1,0,13,0,0,0,90.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,0,2,1,0,245,0,0,0,75.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,11,0,0,0,111.0,1,0,1,0,0,0,0,0,0,0,0,1
2,0,2,2,1,0,266,0,0,0,86.7,2,1,1,0,0,0,0,0,0,0,0,1
2,0,1,0,1,0,39,0,0,0,117.9,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,4,0,0,112,0,0,0,101.58,1,1,1,0,0,0,0,0,0,0,0,1
2,0,1,2,0,0,88,0,0,0,58.9,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,1,1,0,56,0,0,0,120.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,2,3,1,0,73,0,0,0,107.1,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,1,1,0,80,0,0,0,126.9,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,3,1,0,130,0,0,0,139.5,2,0,0,0,1,0,0,0,0,0,0,1
2,0,1,3,0,0,69,0,0,0,80.75,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,2,0,273,0,0,0,109.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,1,2,0,55,0,0,0,104.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,0,3,1,0,97,0,0,0,140.4,0,1,0,0,1,0,0,0,0,0,0,1
2,0,0,3,1,0,44,0,0,0,75.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,0,1,0,0,31,0,0,0,94.5,0,0,1,0,0,0,0,0,0,0,0,1
2,0,1,0,0,0,0,0,0,0,109.0,0,1,1,0,0,0,0,0,0,0,0,1
2,0,2,2,1,0,62,0,0,0,105.0,2,1,1,0,0,0,0,0,0,0,0,1
2,0,2,2,1,0,86,0,0,0,107.95,1,1,0,0,1,0,0,0,0,0,0,1
2,0,1,1,0,0,197,0,0,0,85.5,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,143,0,0,0,105.3,2,1,1,0,0,0,0,0,0,0,0,1
1,0,2,1,2,0,23,0,0,0,1.0,0,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,8,0,0,0,156.0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,2,1,0,13,0,0,0,73.15,1,1,1,0,0,0,0,0,0,0,0,1
2,0,1,2,1,0,280,0,0,0,110.0,0,0,1,0,0,0,0,0,0,0,0,1
2,1,1,0,0,0,11,0,0,0,87.4,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,317,0,0,0,120.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,1,2,0,0,185,0,0,0,79.2,0,0,1,0,0,0,0,0,0,0,0,1
2,0,1,3,1,0,160,0,0,0,90.95,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,4,1,0,104,0,0,0,91.48,1,1,1,0,0,0,0,0,0,0,0,1
2,1,0,1,1,0,11,0,0,0,150.0,1,0,1,0,0,0,0,0,0,0,0,1
2,0,0,1,0,0,2,0,0,0,89.0,0,1,1,0,0,0,0,0,0,0,0,1
2,0,1,4,0,0,14,0,0,0,91.43,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,22,0,0,0,140.0,0,1,1,0,0,0,0,0,0,0,1,0
1,1,2,5,0,0,37,0,0,0,87.78,0,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,2,0,292,0,0,0,115.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,3,1,0,11,0,0,0,80.85,1,1,1,0,0,0,0,0,0,0,0,1
2,0,1,3,1,0,86,0,0,0,82.45,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,1,0,0,109,0,0,0,108.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,1,1,1,0,72,0,0,0,96.3,1,1,0,0,1,0,0,0,0,0,0,1
2,0,1,5,1,0,196,0,0,0,99.45,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,56,0,0,0,140.4,1,1,0,0,1,0,0,0,0,0,0,1
2,0,1,3,1,0,189,0,0,0,72.25,0,1,1,0,0,0,0,0,0,0,1,0
2,0,1,4,1,0,126,0,0,0,126.0,0,1,0,0,1,0,0,0,0,0,0,1
2,0,2,3,1,0,303,0,0,0,78.0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,2,2,1,0,81,0,0,0,146.6,1,1,0,0,1,0,0,0,0,0,0,1
2,0,1,2,1,0,54,0,0,0,118.8,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,1,1,0,15,0,0,0,145.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,4,1,0,86,0,0,0,84.58,0,0,1,0,0,0,0,0,0,0,0,1
2,0,1,2,2,0,161,0,0,0,130.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,1,2,1,0,92,0,0,0,101.52,0,1,1,0,0,0,0,0,0,0,1,0
2,0,2,1,1,0,109,0,0,0,58.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,0,4,1,0,127,0,0,0,61.5,2,1,1,0,0,0,0,0,0,0,1,0
2,0,1,4,0,0,156,0,0,0,87.3,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,80,0,0,0,76.5,1,0,1,0,0,0,0,0,0,0,0,1
2,0,2,2,0,0,211,0,0,0,63.75,0,0,1,0,0,0,0,0,0,0,0,1
2,0,1,2,1,0,273,0,0,0,95.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,2,1,1,0,58,0,0,0,75.0,1,1,1,0,0,0,0,0,0,0,1,0
2,0,1,3,1,0,111,0,0,0,101.58,1,1,1,0,0,0,0,0,0,0,0,1
2,0,2,3,1,0,34,0,0,0,85.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,2,4,1,0,17,0,0,0,98.39,0,1,1,0,0,0,0,0,0,0,0,1
2,0,0,3,1,0,6,0,0,0,106.07,1,1,1,0,0,0,0,0,0,0,0,1
2,0,1,1,1,0,32,0,0,0,105.0,1,1,1,0,0,0,0,0,0,0,1,0
2,0,0,1,1,0,4,0,0,0,145.0,2,1,1,0,0,0,0,0,0,0,0,1
3,0,2,1,1,0,195,0,0,0,106.03,1,0,1,0,0,0,0,0,0,0,0,1
2,0,2,2,1,0,119,0,0,0,114.3,1,1,1,0,0,0,0,0,0,0,0,1
1,0,1,1,0,0,13,0,0,0,88.0,0,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,59,0,0,0,89.25,2,1,1,0,0,0,0,0,0,0,0,1
2,1,2,5,1,0,78,0,0,0,86.32,1,1,0,0,1,0,0,0,0,0,0,1
2,0,0,3,1,0,335,0,0,0,90.0,1,1,1,0,0,0,0,0,0,0,1,0
2,0,2,5,1,0,103,0,0,0,55.96,0,1,1,0,0,0,0,0,0,0,0,1
1,0,0,2,0,0,0,0,0,0,109.0,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,1,1,0,118,0,0,0,86.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,1,5,1,0,56,0,0,0,118.95,0,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,107,0,0,0,130.0,1,1,1,0,0,0,0,0,0,0,1,0
2,0,1,3,0,0,70,0,0,0,90.56,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,76,0,0,0,87.3,1,1,1,0,0,0,0,0,0,0,0,1
2,1,0,2,1,0,15,0,0,0,127.0,1,1,1,0,0,0,0,0,0,0,0,1
1,0,1,2,1,0,32,0,0,0,72.9,0,0,1,0,0,0,0,0,0,0,0,1
3,0,1,1,1,0,49,0,0,0,159.3,0,0,0,0,1,0,0,0,0,0,0,1
2,1,1,3,1,0,77,0,0,0,135.15,1,1,1,0,0,0,0,0,0,0,0,1
1,0,0,2,1,0,22,0,0,0,90.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,1,0,0,0,0,0,0,0,114.0,0,1,1,0,0,0,0,0,0,0,0,1
2,0,2,6,0,0,4,0,0,0,95.13,1,1,1,0,0,0,0,0,0,0,0,1
2,0,1,3,1,0,36,0,0,0,102.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,2,2,0,0,35,0,0,0,74.8,2,1,1,0,0,0,0,0,0,0,0,1
2,0,1,0,0,0,31,0,0,0,94.5,0,0,1,0,0,0,0,0,0,0,0,1
2,0,2,4,0,0,79,0,0,0,120.6,0,1,1,0,0,0,0,0,0,0,0,1
2,0,1,2,1,0,1,0,0,0,139.33,0,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,21,0,0,0,105.0,0,1,1,0,0,0,0,0,0,0,0,1
2,0,1,0,1,0,33,0,0,0,80.3,1,1,1,0,0,0,0,0,0,0,0,1
1,0,0,2,1,0,164,0,0,0,100.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,0,4,1,0,18,0,0,0,112.8,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,2,1,0,21,0,0,0,151.0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,1,3,1,0,0,0,0,0,91.0,1,1,1,0,0,0,0,0,0,0,0,1
3,0,2,1,1,0,152,0,0,0,146.7,1,0,0,0,1,0,0,0,0,0,0,1
2,0,2,3,1,0,43,0,0,0,58.4,0,1,1,0,0,0,0,0,0,0,1,0
2,0,0,4,0,0,177,0,0,0,80.75,1,0,1,0,0,0,0,0,0,0,0,1
2,0,1,1,0,0,47,0,0,0,76.5,0,1,1,0,0,0,0,0,0,0,1,0
3,0,0,3,1,0,57,0,0,0,140.13,0,1,0,0,1,0,0,0,0,0,0,1
2,0,2,4,0,0,60,0,0,0,76.0,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,1,1,0,0,0,0,0,200.0,0,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,2,0,102,0,0,0,101.5,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,3,0,0,71,0,0,0,108.0,1,1,1,0,0,0,0,0,0,0,0,1
3,0,2,3,2,0,111,0,0,0,189.0,1,1,0,0,1,0,0,0,0,0,0,1
2,0,1,1,0,0,4,0,0,0,67.5,0,1,1,0,0,0,0,0,0,0,0,1
2,0,1,3,1,0,25,0,0,0,78.54,1,1,0,0,1,0,0,0,0,0,0,1
1,0,2,2,1,0,209,0,0,0,152.1,1,0,1,0,0,0,0,0,0,0,0,1
1,0,2,1,1,0,93,0,0,0,115.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,2,5,0,0,53,0,0,0,66.53,2,1,1,0,0,0,0,0,0,0,0,1
2,0,0,3,1,0,302,0,0,0,90.3,2,0,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,122,0,0,0,85.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,2,4,1,0,28,0,0,0,115.37,1,0,1,0,0,0,0,0,0,0,0,1
2,0,1,2,2,0,161,0,0,0,130.0,0,0,1,0,0,0,0,0,0,0,0,1
3,0,0,2,1,0,57,0,0,0,126.0,2,1,0,0,1,0,0,0,0,0,0,1
2,0,1,0,1,0,19,0,0,0,94.35,1,1,1,0,0,0,0,0,0,0,0,1
1,0,0,2,2,0,239,0,0,0,90.6,0,0,1,0,0,0,0,0,0,0,0,1
1,0,2,1,1,0,33,0,0,0,82.9,2,1,1,0,0,0,0,0,0,0,0,1
2,0,0,3,1,0,11,0,0,0,95.33,1,1,1,0,0,0,0,0,0,0,0,1
3,0,2,5,1,0,40,0,0,0,135.64,1,1,0,0,1,0,0,0,0,0,0,1
3,0,1,1,1,0,45,0,0,0,122.4,0,1,0,0,1,0,0,0,0,0,1,0
2,0,1,3,0,0,41,0,0,0,116.1,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,4,0,0,167,0,0,0,62.18,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,4,0,0,62,0,0,0,63.75,0,0,1,0,0,0,0,0,0,0,0,1
1,0,1,4,1,0,113,0,0,0,118.8,0,0,1,0,0,0,0,0,0,0,0,1
3,0,1,2,1,0,245,0,0,0,128.7,0,0,1,0,0,0,0,0,0,0,0,1
2,0,1,3,1,0,80,0,0,0,80.33,1,1,1,0,0,0,0,0,0,0,0,1
2,0,1,1,1,0,7,0,0,0,140.0,1,0,1,0,0,0,0,0,0,0,0,1
2,1,1,1,1,0,128,0,0,0,76.5,2,1,1,0,0,0,0,0,0,0,0,1
2,0,2,1,1,0,100,0,0,0,105.3,1,1,1,0,0,0,0,0,0,0,0,1
2,0,2,1,1,0,118,0,0,0,87.3,1,0,1,0,0,0,0,0,0,0,0,1
1,0,0,3,1,0,166,0,0,0,110.0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,1,2,0,41,0,0,0,83.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,2,2,1,0,174,0,0,0,99.45,1,1,1,0,0,0,0,0,0,0,0,1
2,0,2,6,1,0,2,0,0,0,92.54,2,1,1,0,0,0,0,0,0,0,0,1
1,0,0,3,1,0,37,0,0,0,95.0,0,1,1,0,0,0,0,0,0,0,1,0
1,0,0,2,1,0,188,0,0,0,130.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,1,2,1,0,189,0,0,0,109.8,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,0,1,0,10,0,0,0,103.0,0,1,1,0,0,0,0,0,0,0,0,1
3,0,2,1,1,0,19,0,0,0,130.0,1,1,0,0,1,0,0,0,0,0,0,1
2,0,0,2,1,0,61,0,0,0,117.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,4,1,0,95,0,0,0,60.5,0,1,0,0,1,0,0,0,0,0,1,0
2,0,0,1,2,0,83,0,0,0,112.2,0,1,1,0,0,0,0,0,0,0,1,0
2,0,1,3,1,0,37,0,0,0,135.9,0,0,1,0,0,0,0,0,0,0,0,1
2,0,1,0,1,0,19,0,0,0,151.0,1,0,1,0,0,0,0,0,0,0,0,1
2,0,2,1,1,0,22,0,0,0,59.09,0,1,1,0,0,0,0,0,0,0,0,1
2,0,2,5,1,0,151,0,0,0,103.09,0,0,1,0,0,0,0,0,0,0,0,1
2,0,2,1,1,0,26,0,0,0,87.0,0,1,1,0,0,0,0,0,0,0,1,0
3,0,1,0,1,0,27,0,0,0,137.0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,2,2,0,79,0,0,0,109.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,1,1,2,0,247,0,0,0,115.0,1,0,1,0,0,0,0,0,0,0,0,1
2,0,2,3,1,0,189,0,0,0,99.45,1,1,0,0,1,0,0,0,0,0,0,1
2,0,0,2,2,0,320,0,0,0,115.0,1,0,1,0,0,0,0,0,0,0,0,1
3,0,1,2,1,0,27,0,0,0,130.0,2,1,0,0,1,0,0,0,0,0,0,1
2,0,0,2,1,0,245,0,0,0,75.0,0,0,1,0,0,0,0,0,0,0,0,1
2,1,1,2,1,0,52,0,0,0,132.9,0,0,1,0,0,0,0,0,0,0,0,1
1,0,2,0,1,0,13,0,0,0,120.0,0,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,0,0,46,0,0,0,79.2,1,0,1,0,0,0,0,0,0,0,0,1
3,0,2,1,1,0,84,0,0,0,159.3,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,2,1,0,188,0,0,0,130.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,67,0,0,0,140.4,1,1,0,0,1,0,0,0,0,0,0,1
